ID,CODE,NAME
11,OL41,OLM 2021 - 41
12,OL42,OLM 2021 - 42
13,OL43,OLM 2021 - 43
14,OL44,OLM 2021 - 44
15,OL45,OLM 2021 - 45
16,OL46,OLM 2021 - 46
17,OL47,OLM 2021 - 47
18,OL48,OLM 2021 - 48
19,OL49,OLM 2021 - 49
20,OL50,OLM 2021 - 50
21,OL51,OLM 2021 - 51
22,OL52,OLM 2021 - 52
23,OL53,OLM 2021 - 53
24,OL54,OLM 2021 - 54
25,OL55,OLM 2021 - 55
26,OL56,OLM 2021 - 56
27,OL57,OLM 2021 - 57
28,OL58,OLM 2021 - 58
29,OL59,OLM 2021 - 59
30,OL60,OLM 2021 - 60
31,OL61,OLM 2021 - 61
32,OL1,OLM 2015 - 1
33,OL2,OLM 2015 - 2
34,OL3,OLM 2015 - 3
35,OL4,OLM2016 - 4
36,OL5,OLM2016 - 5
37,OL6,OLM2016 - 6
38,OL7,OLM2016 - 7
39,OL8,OLM2016 - 8
40,OL9,OLM2016 - 9
41,OL10,OLM2016 - 10
42,OL11,OLM2017 - 11
43,OL12,OLM2017 - 12
44,OL13,OLM2017 - 13
45,OL14,OLM2017 - 14
46,OL15,OLM2017 - 15
47,OL16,OLM2017 - 16
52,BENGKULU 01,OLM2018 - 21
53,BENGKULU 02,OLM2018 - 22
54,GORONTALO 01,OLM2018 - 23
55,GORONTALO 02,OLM2018 - 24
56,KEPRI 01,OLM2018 - 25
57,MALUKU UTARA 01,OLM2018 - 26
58,RIAU 01,OLM2018 - 27
59,SUMSEL 01,OLM2018 - 28
